Instance,Signal,MABP,etCO2,gamma,cost,nu,fold,train.time,train.cor,test.cor,step.score,perf,model.mem,model.ord,dARI,mfARI
35,CBFVR,8,0,-5,-2,0.2,2,0.0312,0.492,0.286,0.542,0.155,8,0,2.6,4.2
35,CBFVL,3,0,-9,2,0.2,2,0.0156,0.451,0.326,0.711,0.232,3,0,9,6.3
31,CBFVR,2,6,-9,10,0.2,1,0.0468,0.595,0.654,0.753,0.492,8,0,9,8.9
3,CBFVL,2,0,-13,10,0.8,2,0.0468,0.327,0.252,0.917,0.231,2,0,8,5.8
25,CBFVR,1,6,-9,4,0.4,1,0.0156,0.429,0.593,0.922,0.547,7,0,0,1.4
33,CBFVL,3,3,-9,10,0.4,1,0.0624,0.587,0.643,0.932,0.599,6,0,3,4.5
42,CBFVR,2,4,-13,10,0.2,1,0.0312,0.451,0.497,0.949,0.472,6,0,8,5.8
18,CBFVR,2,3,-9,8,0.2,2,0.0312,0.592,0.562,0.955,0.537,5,0,7.9,5.4
49,CBFVR,2,4,-5,2,0.2,1,0.032,0.636,0.598,0.955,0.571,6,0,9,9.1
42,CBFVL,3,6,-13,10,0.4,2,0.0312,0.537,0.453,0.968,0.439,9,0,3,4.3
23,CBFVR,3,6,-13,10,0.8,2,0.0468,0.479,0.65,0.98,0.637,9,0,3.6,5.4
10,CBFVR,2,0,-5,4,0.4,1,0.0156,0.628,0.533,0.984,0.524,2,0,9,6.3
14,CBFVR,2,0,-5,6,0.2,1,0.0312,0.501,0.676,0.987,0.667,2,0,9,9.1
21,CBFVL,1,6,-13,10,0.4,2,0.0312,0.546,0.716,0.989,0.708,7,0,2,2.7
40,CBFVR,3,0,-13,10,0.8,2,0.0312,0.57,0.548,0.999,0.547,3,0,9,6.7
16,CBFVL,3,0,-9,8,0.6,1,0.0312,0.505,0.362,1,0.362,3,0,9,6.8
11,CBFVR,2,0,-5,6,0.8,1,0.0624,0.554,0.418,1,0.418,2,0,9,6.5
22,CBFVR,2,0,-5,4,0.2,2,0.0156,0.688,0.42,1,0.42,2,0,7.9,5.3
45,CBFVR,4,1,-5,6,0.4,1,0.0468,0.59,0.438,1,0.438,5,0,9,8.6
1,CBFVL,3,4,-9,6,0.8,2,0.0468,0.726,0.444,1,0.444,7,0,9,7.5
